sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA19141,YRI,African,kg,,African
NA19142,YRI,African,kg,,
NA19143,YRI,African,kg,,African
NA19144,YRI,African,kg,,African
NA19145,YRI,African,kg,,
NA19146,YRI,African,kg,,African
NA19147,YRI,African,kg,,African
NA19148,YRI,African,kg,,
NA19149,YRI,African,kg,,African
NA19150,YRI,African,kg,,
NA19151,YRI,African,kg,,
NA19152,YRI,African,kg,,African
NA19153,YRI,African,kg,,African
NA19154,YRI,African,kg,,
NA19159,YRI,African,kg,,African
NA19160,YRI,African,kg,,African
NA19161,YRI,African,kg,,
NA19171,YRI,African,kg,,African
NA19172,YRI,African,kg,,African
NA19173,YRI,African,kg,,
NA19174,YRI,African,kg,,
NA19175,YRI,African,kg,,African
NA19176,YRI,African,kg,,
NA19177,YRI,African,kg,,
NA19184,YRI,African,kg,,African
NA19185,YRI,African,kg,,African
NA19186,YRI,African,kg,,
NA19189,YRI,African,kg,,African
NA19190,YRI,African,kg,,African
NA19191,YRI,African,kg,,
NA19197,YRI,African,kg,,African
NA19198,YRI,African,kg,,African
NA19199,YRI,African,kg,,
NA19200,YRI,African,kg,,African
NA19201,YRI,African,kg,,African
NA19202,YRI,African,kg,,
NA19203,YRI,African,kg,,
NA19204,YRI,African,kg,,African
NA19205,YRI,African,kg,,
NA19206,YRI,African,kg,,African
NA19207,YRI,African,kg,,African
NA19208,YRI,African,kg,,
NA19209,YRI,African,kg,,African
NA19210,YRI,African,kg,,African
NA19211,YRI,African,kg,,
NA19213,YRI,African,kg,,African
NA19214,YRI,African,kg,,African
NA19215,YRI,African,kg,,
NA19221,YRI,African,kg,,
NA19222,YRI,African,kg,,African
NA19223,YRI,African,kg,,African
NA19224,YRI,African,kg,,
NA19225,YRI,African,kg,,African
NA19226,YRI,African,kg,,
NA19235,YRI,African,kg,,African
NA19236,YRI,African,kg,,African
NA19237,YRI,African,kg,,
NA19238,YRI,African,kg,,African
NA19239,YRI,African,kg,,African
NA19240,YRI,African,kg,,
NA19247,YRI,African,kg,,African
NA19248,YRI,African,kg,,African
NA19249,YRI,African,kg,,
NA19256,YRI,African,kg,,African
NA19257,YRI,African,kg,,African
NA19258,YRI,African,kg,,
NA19307,LWK,African,kg,,African
NA19308,LWK,African,kg,,African
NA19309,LWK,African,kg,,African
NA19310,LWK,African,kg,,African
NA19312,LWK,African,kg,,African
NA19314,LWK,African,kg,,African
NA19315,LWK,African,kg,,African
NA19316,LWK,African,kg,,African
NA19317,LWK,African,kg,,African
NA19318,LWK,African,kg,,African
NA19319,LWK,African,kg,,African
NA19320,LWK,African,kg,,African
NA19321,LWK,African,kg,,African
NA19323,LWK,African,kg,,African
NA19324,LWK,African,kg,,African
NA19327,LWK,African,kg,,African
NA19328,LWK,African,kg,,African
NA19331,LWK,African,kg,,African
NA19332,LWK,African,kg,,African
NA19334,LWK,African,kg,,African
NA19338,LWK,African,kg,,African
NA19346,LWK,African,kg,,African
NA19347,LWK,African,kg,,African
NA19350,LWK,African,kg,,African
NA19351,LWK,African,kg,,African
NA19355,LWK,African,kg,,African
NA19360,LWK,African,kg,,African
NA19372,LWK,African,kg,,African
NA19374,LWK,African,kg,,African
NA19375,LWK,African,kg,,African
NA19376,LWK,African,kg,,African
NA19377,LWK,African,kg,,African
NA19378,LWK,African,kg,,African
NA19379,LWK,African,kg,,African
NA19380,LWK,African,kg,,African
NA19383,LWK,African,kg,,African
NA19384,LWK,African,kg,,African
NA19385,LWK,African,kg,,African
NA19390,LWK,African,kg,,African
NA19391,LWK,African,kg,,African
