sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA21101,GIH,South Asian,kg,,South Asian
NA21102,GIH,South Asian,kg,,South Asian
NA21103,GIH,South Asian,kg,,South Asian
NA21104,GIH,South Asian,kg,,South Asian
NA21105,GIH,South Asian,kg,,South Asian
NA21106,GIH,South Asian,kg,,South Asian
NA21107,GIH,South Asian,kg,,South Asian
NA21108,GIH,South Asian,kg,,South Asian
NA21109,GIH,South Asian,kg,,South Asian
NA21110,GIH,South Asian,kg,,South Asian
NA21111,GIH,South Asian,kg,,South Asian
NA21112,GIH,South Asian,kg,,South Asian
NA21113,GIH,South Asian,kg,,South Asian
NA21114,GIH,South Asian,kg,,South Asian
NA21115,GIH,South Asian,kg,,South Asian
NA21116,GIH,South Asian,kg,,South Asian
NA21117,GIH,South Asian,kg,,South Asian
NA21118,GIH,South Asian,kg,,South Asian
NA21119,GIH,South Asian,kg,,South Asian
NA21120,GIH,South Asian,kg,,South Asian
NA21122,GIH,South Asian,kg,,South Asian
NA21123,GIH,South Asian,kg,,South Asian
NA21124,GIH,South Asian,kg,,South Asian
NA21125,GIH,South Asian,kg,,South Asian
NA21126,GIH,South Asian,kg,,South Asian
NA21127,GIH,South Asian,kg,,South Asian
NA21128,GIH,South Asian,kg,,South Asian
NA21129,GIH,South Asian,kg,,South Asian
NA21130,GIH,South Asian,kg,,South Asian
NA21133,GIH,South Asian,kg,,South Asian
NA21135,GIH,South Asian,kg,,South Asian
NA21137,GIH,South Asian,kg,,South Asian
NA21141,GIH,South Asian,kg,,South Asian
NA21142,GIH,South Asian,kg,,South Asian
NA21143,GIH,South Asian,kg,,South Asian
NA21144,GIH,South Asian,kg,,South Asian
HGDP00001,Brahui,Central South Asian,hgdp,,South Asian
HGDP00003,Brahui,Central South Asian,hgdp,,South Asian
HGDP00005,Brahui,Central South Asian,hgdp,,South Asian
HGDP00007,Brahui,Central South Asian,hgdp,,South Asian
HGDP00009,Brahui,Central South Asian,hgdp,,South Asian
HGDP00011,Brahui,Central South Asian,hgdp,,South Asian
HGDP00013,Brahui,Central South Asian,hgdp,,South Asian
HGDP00015,Brahui,Central South Asian,hgdp,,South Asian
HGDP00017,Brahui,Central South Asian,hgdp,,South Asian
HGDP00019,Brahui,Central South Asian,hgdp,,South Asian
HGDP00021,Brahui,Central South Asian,hgdp,,South Asian
HGDP00023,Brahui,Central South Asian,hgdp,,South Asian
HGDP00025,Brahui,Central South Asian,hgdp,,South Asian
HGDP00027,Brahui,Central South Asian,hgdp,,South Asian
HGDP00029,Brahui,Central South Asian,hgdp,,South Asian
HGDP00031,Brahui,Central South Asian,hgdp,,South Asian
HGDP00033,Brahui,Central South Asian,hgdp,,South Asian
HGDP00035,Brahui,Central South Asian,hgdp,,South Asian
HGDP00037,Brahui,Central South Asian,hgdp,,South Asian
HGDP00039,Brahui,Central South Asian,hgdp,,South Asian
HGDP00041,Brahui,Central South Asian,hgdp,,South Asian
HGDP00043,Brahui,Central South Asian,hgdp,,South Asian
HGDP00045,Brahui,Central South Asian,hgdp,,South Asian
HGDP00047,Brahui,Central South Asian,hgdp,,South Asian
HGDP00049,Brahui,Central South Asian,hgdp,,South Asian
HGDP00052,Balochi,Central South Asian,hgdp,,South Asian
HGDP00054,Balochi,Central South Asian,hgdp,,South Asian
HGDP00056,Balochi,Central South Asian,hgdp,,South Asian
HGDP00057,Balochi,Central South Asian,hgdp,,South Asian
HGDP00058,Balochi,Central South Asian,hgdp,,South Asian
HGDP00060,Balochi,Central South Asian,hgdp,,South Asian
HGDP00062,Balochi,Central South Asian,hgdp,,South Asian
HGDP00064,Balochi,Central South Asian,hgdp,,South Asian
HGDP00066,Balochi,Central South Asian,hgdp,,South Asian
HGDP00068,Balochi,Central South Asian,hgdp,,South Asian
HGDP00070,Balochi,Central South Asian,hgdp,,South Asian
HGDP00072,Balochi,Central South Asian,hgdp,,South Asian
HGDP00074,Balochi,Central South Asian,hgdp,,South Asian
HGDP00076,Balochi,Central South Asian,hgdp,,South Asian
HGDP00078,Balochi,Central South Asian,hgdp,,South Asian
HGDP00080,Balochi,Central South Asian,hgdp,,South Asian
HGDP00082,Balochi,Central South Asian,hgdp,,South Asian
HGDP00086,Balochi,Central South Asian,hgdp,,South Asian
HGDP00088,Balochi,Central South Asian,hgdp,,South Asian
HGDP00090,Balochi,Central South Asian,hgdp,,South Asian
HGDP00092,Balochi,Central South Asian,hgdp,,South Asian
HGDP00094,Balochi,Central South Asian,hgdp,,South Asian
HGDP00096,Balochi,Central South Asian,hgdp,,South Asian
HGDP00098,Balochi,Central South Asian,hgdp,,South Asian
HGDP00099,Hazara,Central South Asian,hgdp,,South Asian
HGDP00100,Hazara,Central South Asian,hgdp,,South Asian
HGDP00102,Hazara,Central South Asian,hgdp,,South Asian
HGDP00103,Hazara,Central South Asian,hgdp,,South Asian
HGDP00104,Hazara,Central South Asian,hgdp,,South Asian
HGDP00105,Hazara,Central South Asian,hgdp,,South Asian
HGDP00106,Hazara,Central South Asian,hgdp,,South Asian
HGDP00108,Hazara,Central South Asian,hgdp,,South Asian
HGDP00109,Hazara,Central South Asian,hgdp,,South Asian
HGDP00110,Hazara,Central South Asian,hgdp,,South Asian
HGDP00115,Hazara,Central South Asian,hgdp,,South Asian
HGDP00118,Hazara,Central South Asian,hgdp,,South Asian
HGDP00120,Hazara,Central South Asian,hgdp,,South Asian
HGDP00121,Hazara,Central South Asian,hgdp,,South Asian
HGDP00122,Hazara,Central South Asian,hgdp,,South Asian
HGDP00124,Hazara,Central South Asian,hgdp,,South Asian
HGDP00125,Hazara,Central South Asian,hgdp,,South Asian
HGDP00127,Hazara,Central South Asian,hgdp,,South Asian
HGDP00129,Hazara,Central South Asian,hgdp,,South Asian
HGDP00130,Makrani,Central South Asian,hgdp,,South Asian
HGDP00131,Makrani,Central South Asian,hgdp,,South Asian
HGDP00133,Makrani,Central South Asian,hgdp,,South Asian
HGDP00134,Makrani,Central South Asian,hgdp,,South Asian
HGDP00135,Makrani,Central South Asian,hgdp,,South Asian
HGDP00136,Makrani,Central South Asian,hgdp,,South Asian
HGDP00137,Makrani,Central South Asian,hgdp,,South Asian
HGDP00139,Makrani,Central South Asian,hgdp,,South Asian
HGDP00140,Makrani,Central South Asian,hgdp,,South Asian
HGDP00141,Makrani,Central South Asian,hgdp,,South Asian
HGDP00143,Makrani,Central South Asian,hgdp,,South Asian
HGDP00144,Makrani,Central South Asian,hgdp,,South Asian
HGDP00145,Makrani,Central South Asian,hgdp,,South Asian
HGDP00146,Makrani,Central South Asian,hgdp,,South Asian
HGDP00148,Makrani,Central South Asian,hgdp,,South Asian
HGDP00149,Makrani,Central South Asian,hgdp,,South Asian
HGDP00150,Makrani,Central South Asian,hgdp,,South Asian
HGDP00151,Makrani,Central South Asian,hgdp,,South Asian
HGDP00153,Makrani,Central South Asian,hgdp,,South Asian
HGDP00154,Makrani,Central South Asian,hgdp,,South Asian
HGDP00155,Makrani,Central South Asian,hgdp,,South Asian
HGDP00157,Makrani,Central South Asian,hgdp,,South Asian
HGDP00158,Makrani,Central South Asian,hgdp,,South Asian
HGDP00160,Makrani,Central South Asian,hgdp,,South Asian
HGDP00161,Makrani,Central South Asian,hgdp,,South Asian
HGDP00163,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00165,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00167,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00169,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00171,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00173,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00175,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00177,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00179,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00181,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00183,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00185,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00187,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00189,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00191,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00192,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00195,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00197,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00199,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00201,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00205,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00206,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00208,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00210,Sindhi,Central South Asian,hgdp,,South Asian
HGDP00213,Pathan,Central South Asian,hgdp,,South Asian
HGDP00214,Pathan,Central South Asian,hgdp,,South Asian
HGDP00216,Pathan,Central South Asian,hgdp,,South Asian
HGDP00218,Pathan,Central South Asian,hgdp,,South Asian
HGDP00222,Pathan,Central South Asian,hgdp,,South Asian
HGDP00224,Pathan,Central South Asian,hgdp,,South Asian
HGDP00226,Pathan,Central South Asian,hgdp,,South Asian
HGDP00228,Pathan,Central South Asian,hgdp,,South Asian
HGDP00230,Pathan,Central South Asian,hgdp,,South Asian
HGDP00232,Pathan,Central South Asian,hgdp,,South Asian
HGDP00234,Pathan,Central South Asian,hgdp,,South Asian
HGDP00237,Pathan,Central South Asian,hgdp,,South Asian
HGDP00239,Pathan,Central South Asian,hgdp,,South Asian
HGDP00241,Pathan,Central South Asian,hgdp,,South Asian
HGDP00243,Pathan,Central South Asian,hgdp,,South Asian
HGDP00244,Pathan,Central South Asian,hgdp,,South Asian
HGDP00247,Pathan,Central South Asian,hgdp,,South Asian
HGDP00248,Pathan,Central South Asian,hgdp,,South Asian
HGDP00251,Pathan,Central South Asian,hgdp,,South Asian
HGDP00254,Pathan,Central South Asian,hgdp,,South Asian
HGDP00258,Pathan,Central South Asian,hgdp,,South Asian
HGDP00259,Pathan,Central South Asian,hgdp,,South Asian
HGDP00262,Pathan,Central South Asian,hgdp,,South Asian
HGDP00264,Pathan,Central South Asian,hgdp,,South Asian
HGDP00274,Kalash,Central South Asian,hgdp,,South Asian
HGDP00277,Kalash,Central South Asian,hgdp,,South Asian
HGDP00279,Kalash,Central South Asian,hgdp,,South Asian
HGDP00281,Kalash,Central South Asian,hgdp,,South Asian
HGDP00285,Kalash,Central South Asian,hgdp,,South Asian
HGDP00286,Kalash,Central South Asian,hgdp,,South Asian
HGDP00288,Kalash,Central South Asian,hgdp,,South Asian
HGDP00290,Kalash,Central South Asian,hgdp,,South Asian
HGDP00298,Kalash,Central South Asian,hgdp,,South Asian
HGDP00302,Kalash,Central South Asian,hgdp,,South Asian
HGDP00304,Kalash,Central South Asian,hgdp,,South Asian
HGDP00307,Kalash,Central South Asian,hgdp,,South Asian
HGDP00309,Kalash,Central South Asian,hgdp,,South Asian
HGDP00311,Kalash,Central South Asian,hgdp,,South Asian
HGDP00313,Kalash,Central South Asian,hgdp,,South Asian
HGDP00315,Kalash,Central South Asian,hgdp,,South Asian
HGDP00319,Kalash,Central South Asian,hgdp,,South Asian
HGDP00323,Kalash,Central South Asian,hgdp,,South Asian
HGDP00326,Kalash,Central South Asian,hgdp,,South Asian
HGDP00328,Kalash,Central South Asian,hgdp,,South Asian
HGDP00330,Kalash,Central South Asian,hgdp,,South Asian
HGDP00333,Kalash,Central South Asian,hgdp,,South Asian
HGDP00338,Burusho,Central South Asian,hgdp,,South Asian
HGDP00341,Burusho,Central South Asian,hgdp,,South Asian
HGDP00346,Burusho,Central South Asian,hgdp,,South Asian
HGDP00351,Burusho,Central South Asian,hgdp,,South Asian
HGDP00356,Burusho,Central South Asian,hgdp,,South Asian
HGDP00359,Burusho,Central South Asian,hgdp,,South Asian
HGDP00364,Burusho,Central South Asian,hgdp,,South Asian
HGDP00371,Burusho,Central South Asian,hgdp,,South Asian
HGDP00372,Burusho,Central South Asian,hgdp,,South Asian
HGDP00376,Burusho,Central South Asian,hgdp,,South Asian
HGDP00382,Burusho,Central South Asian,hgdp,,South Asian
HGDP00388,Burusho,Central South Asian,hgdp,,South Asian
HGDP00392,Burusho,Central South Asian,hgdp,,South Asian
HGDP00397,Burusho,Central South Asian,hgdp,,South Asian
HGDP00402,Burusho,Central South Asian,hgdp,,South Asian
HGDP00407,Burusho,Central South Asian,hgdp,,South Asian
HGDP00412,Burusho,Central South Asian,hgdp,,South Asian
HGDP00417,Burusho,Central South Asian,hgdp,,South Asian
HGDP00423,Burusho,Central South Asian,hgdp,,South Asian
HGDP00428,Burusho,Central South Asian,hgdp,,South Asian
HGDP00433,Burusho,Central South Asian,hgdp,,South Asian
HGDP00438,Burusho,Central South Asian,hgdp,,South Asian
HGDP00444,Burusho,Central South Asian,hgdp,,South Asian
HGDP00445,Burusho,Central South Asian,hgdp,,South Asian
HGDP00449,Mbuti,African,hgdp,,African
HGDP00450,Mbuti,African,hgdp,,African
HGDP00452,Biaka,African,hgdp,,African
HGDP00453,Biaka,African,hgdp,,African
HGDP00454,Biaka,African,hgdp,,African
HGDP00455,Biaka,African,hgdp,,African
HGDP00456,Mbuti,African,hgdp,,African
HGDP00457,Biaka,African,hgdp,,African
HGDP00458,Biaka,African,hgdp,,African
HGDP00459,Biaka,African,hgdp,,African
HGDP00460,Biaka,African,hgdp,,African
HGDP00461,Biaka,African,hgdp,,African
HGDP00462,Mbuti,African,hgdp,,African
HGDP00463,Mbuti,African,hgdp,,African
HGDP00464,Biaka,African,hgdp,,African
HGDP00466,Biaka,African,hgdp,,African
HGDP00467,Mbuti,African,hgdp,,African
HGDP00469,Biaka,African,hgdp,,African
HGDP00470,Biaka,African,hgdp,,African
HGDP00471,Mbuti,African,hgdp,,African
HGDP00472,Biaka,African,hgdp,,African
HGDP00473,Biaka,African,hgdp,,African
HGDP00474,Mbuti,African,hgdp,,African
HGDP00475,Biaka,African,hgdp,,African
HGDP00476,Mbuti,African,hgdp,,African
HGDP00478,Mbuti,African,hgdp,,African
HGDP00479,Biaka,African,hgdp,,African
HGDP00491,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00511,French,European,hgdp,,European
HGDP00512,French,European,hgdp,,European
HGDP00513,French,European,hgdp,,European
HGDP00514,French,European,hgdp,,European
HGDP00515,French,European,hgdp,,European
HGDP00516,French,European,hgdp,,European
HGDP00517,French,European,hgdp,,European
HGDP00518,French,European,hgdp,,European
HGDP00519,French,European,hgdp,,European
HGDP00520,French,European,hgdp,,European
HGDP00521,French,European,hgdp,,European
HGDP00522,French,European,hgdp,,European
HGDP00523,French,European,hgdp,,European
HGDP00524,French,European,hgdp,,European
HGDP00525,French,European,hgdp,,European
HGDP00526,French,European,hgdp,,European
HGDP00527,French,European,hgdp,,European
HGDP00528,French,European,hgdp,,European
HGDP00529,French,European,hgdp,,European
HGDP00530,French,European,hgdp,,European
HGDP00531,French,European,hgdp,,European
HGDP00533,French,European,hgdp,,European
HGDP00534,French,European,hgdp,,European
HGDP00535,French,European,hgdp,,European
HGDP00536,French,European,hgdp,,European
HGDP00537,French,European,hgdp,,European
HGDP00538,French,European,hgdp,,European
HGDP00539,French,European,hgdp,,European
HGDP00540,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00541,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00542,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00543,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00544,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00545,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00546,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00547,PapuanSepik,Oceanian,hgdp,,Oceanian
HGDP00548,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00549,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00550,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00551,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00552,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00553,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00554,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00555,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00556,PapuanHighlands,Oceanian,hgdp,,Oceanian
HGDP00557,Druze,Middle Eastern,hgdp,,West Asian
HGDP00558,Druze,Middle Eastern,hgdp,,West Asian
HGDP00559,Druze,Middle Eastern,hgdp,,West Asian
HGDP00560,Druze,Middle Eastern,hgdp,,West Asian
HGDP00561,Druze,Middle Eastern,hgdp,,West Asian
HGDP00562,Druze,Middle Eastern,hgdp,,West Asian
HGDP00563,Druze,Middle Eastern,hgdp,,West Asian
HGDP00564,Druze,Middle Eastern,hgdp,,West Asian
HGDP00565,Druze,Middle Eastern,hgdp,,West Asian
HGDP00566,Druze,Middle Eastern,hgdp,,West Asian
HGDP00567,Druze,Middle Eastern,hgdp,,West Asian
HGDP00568,Druze,Middle Eastern,hgdp,,West Asian
HGDP00569,Druze,Middle Eastern,hgdp,,West Asian
HGDP00571,Druze,Middle Eastern,hgdp,,West Asian
HGDP00572,Druze,Middle Eastern,hgdp,,West Asian
HGDP00573,Druze,Middle Eastern,hgdp,,West Asian
HGDP00574,Druze,Middle Eastern,hgdp,,West Asian
HGDP00575,Druze,Middle Eastern,hgdp,,West Asian
HGDP00576,Druze,Middle Eastern,hgdp,,West Asian
HGDP00577,Druze,Middle Eastern,hgdp,,West Asian
HGDP00578,Druze,Middle Eastern,hgdp,,West Asian
HGDP00579,Druze,Middle Eastern,hgdp,,West Asian
HGDP00580,Druze,Middle Eastern,hgdp,,West Asian
HGDP00581,Druze,Middle Eastern,hgdp,,West Asian
HGDP00582,Druze,Middle Eastern,hgdp,,West Asian
HGDP00583,Druze,Middle Eastern,hgdp,,West Asian
HGDP00584,Druze,Middle Eastern,hgdp,,West Asian
HGDP00586,Druze,Middle Eastern,hgdp,,West Asian
HGDP00587,Druze,Middle Eastern,hgdp,,West Asian
HGDP00588,Druze,Middle Eastern,hgdp,,West Asian
HGDP00590,Druze,Middle Eastern,hgdp,,West Asian
HGDP00591,Druze,Middle Eastern,hgdp,,West Asian
HGDP00594,Druze,Middle Eastern,hgdp,,West Asian
HGDP00595,Druze,Middle Eastern,hgdp,,West Asian
HGDP00597,Druze,Middle Eastern,hgdp,,West Asian
HGDP00598,Druze,Middle Eastern,hgdp,,West Asian
HGDP00599,Druze,Middle Eastern,hgdp,,West Asian
HGDP00600,Druze,Middle Eastern,hgdp,,West Asian
HGDP00601,Druze,Middle Eastern,hgdp,,West Asian
HGDP00602,Druze,Middle Eastern,hgdp,,West Asian
HGDP00604,Druze,Middle Eastern,hgdp,,West Asian
HGDP00606,Druze,Middle Eastern,hgdp,,West Asian
HGDP00607,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00608,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00609,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00610,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00611,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00612,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00613,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00614,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00615,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00616,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00618,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00619,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00620,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00621,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00622,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00623,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00624,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00625,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00626,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00627,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00628,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00629,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00630,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00631,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00632,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00634,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00635,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00636,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00637,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00638,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00639,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00640,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00641,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00642,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00643,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00644,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00645,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00646,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00647,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00648,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00649,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00650,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00651,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00653,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00654,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00655,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00656,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00660,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00661,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00662,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00663,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00664,Bougainville,Oceanian,hgdp,,Oceanian
HGDP00665,Sardinian,European,hgdp,,European
HGDP00666,Sardinian,European,hgdp,,European
HGDP00667,Sardinian,European,hgdp,,European
HGDP00668,Sardinian,European,hgdp,,European
HGDP00669,Sardinian,European,hgdp,,European
HGDP00670,Sardinian,European,hgdp,,European
HGDP00671,Sardinian,European,hgdp,,European
HGDP00672,Sardinian,European,hgdp,,European
HGDP00673,Sardinian,European,hgdp,,European
HGDP00674,Sardinian,European,hgdp,,European
HGDP00675,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00676,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00677,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00678,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00679,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00680,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00682,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00683,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00684,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00685,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00686,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00687,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00688,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00689,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00690,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00691,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00692,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00693,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00694,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00696,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00697,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00698,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00699,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00700,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00701,Bedouin,Middle Eastern,hgdp,,West Asian
HGDP00702,Colombian,American,hgdp,,American
HGDP00703,Colombian,American,hgdp,,
HGDP00704,Colombian,American,hgdp,,American
HGDP00706,Colombian,American,hgdp,,American
HGDP00708,Colombian,American,hgdp,,American
HGDP00710,Colombian,American,hgdp,,American
HGDP00711,Cambodian,East Asian,hgdp,,East Asian
HGDP00712,Cambodian,East Asian,hgdp,,East Asian
HGDP00713,Cambodian,East Asian,hgdp,,East Asian
HGDP00714,Cambodian,East Asian,hgdp,,East Asian
HGDP00715,Cambodian,East Asian,hgdp,,East Asian
HGDP00716,Cambodian,East Asian,hgdp,,East Asian
HGDP00717,Cambodian,East Asian,hgdp,,East Asian
HGDP00719,Cambodian,East Asian,hgdp,,East Asian
HGDP00721,Cambodian,East Asian,hgdp,,East Asian
HGDP00722,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00723,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00724,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00725,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00726,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00727,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00729,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00730,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00731,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00732,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00733,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00734,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00735,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00736,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00737,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00738,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00739,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00740,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00741,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00744,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00745,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00746,Palestinian,Middle Eastern,hgdp,,West Asian
HGDP00747,Japanese,East Asian,hgdp,,East Asian
HGDP00748,Japanese,East Asian,hgdp,,East Asian
HGDP00749,Japanese,East Asian,hgdp,,East Asian
HGDP00750,Japanese,East Asian,hgdp,,East Asian
HGDP00751,Japanese,East Asian,hgdp,,East Asian
HGDP00752,Japanese,East Asian,hgdp,,East Asian
HGDP00753,Japanese,East Asian,hgdp,,East Asian
HGDP00754,Japanese,East Asian,hgdp,,East Asian
HGDP00755,Japanese,East Asian,hgdp,,East Asian
HGDP00756,Japanese,East Asian,hgdp,,East Asian
HGDP00757,Japanese,East Asian,hgdp,,East Asian
HGDP00758,Japanese,East Asian,hgdp,,East Asian
HGDP00759,Japanese,East Asian,hgdp,,East Asian
HGDP00760,Japanese,East Asian,hgdp,,East Asian
HGDP00761,Japanese,East Asian,hgdp,,East Asian
HGDP00762,Japanese,East Asian,hgdp,,East Asian
HGDP00764,Japanese,East Asian,hgdp,,East Asian
HGDP00765,Japanese,East Asian,hgdp,,East Asian
HGDP00766,Japanese,East Asian,hgdp,,East Asian
HGDP00767,Japanese,East Asian,hgdp,,East Asian
HGDP00769,Japanese,East Asian,hgdp,,East Asian
HGDP00771,Japanese,East Asian,hgdp,,East Asian
HGDP00772,Japanese,East Asian,hgdp,,East Asian
HGDP00773,Japanese,East Asian,hgdp,,East Asian
HGDP00774,Han,East Asian,hgdp,,East Asian
HGDP00775,Han,East Asian,hgdp,,East Asian
