sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,East Asian,European,South Asian,max_ancestry,assigned_group
HG03116,ESN,African,kg,,,yes,no,,,,,,,
HG03117,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03118,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03119,ESN,African,kg,,,yes,no,,,,,,,
HG03120,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03121,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03122,ESN,African,kg,,,yes,no,,,,,,,
HG03123,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03124,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03125,ESN,African,kg,,,yes,no,,,,,,,
HG03126,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03127,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03128,ESN,African,kg,,,yes,no,,,,,,,
HG03129,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03130,ESN,African,kg,,African,yes,yes,0.999959,1.1e-05,1e-05,1e-05,1e-05,0.999959,African
HG03131,ESN,African,kg,,,yes,no,,,,,,,
HG03132,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03133,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03134,ESN,African,kg,,,yes,no,,,,,,,
HG03135,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03136,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03137,ESN,African,kg,,,yes,no,,,,,,,
HG03139,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03157,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03159,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03160,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03161,ESN,African,kg,,,yes,no,,,,,,,
HG03162,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03163,ESN,African,kg,,African,yes,yes,0.999959,1.1e-05,1e-05,1e-05,1e-05,0.999959,African
HG03164,ESN,African,kg,,,yes,no,,,,,,,
HG03166,ESN,African,kg,,African,yes,yes,0.999954,1e-05,1.6e-05,1e-05,1e-05,0.999954,African
HG03168,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03169,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03170,ESN,African,kg,,,yes,no,,,,,,,
HG03172,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03175,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03189,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03190,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03191,ESN,African,kg,,,yes,no,,,,,,,
HG03193,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03195,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03196,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03197,ESN,African,kg,,,yes,no,,,,,,,
HG03198,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03199,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03200,ESN,African,kg,,,yes,no,,,,,,,
HG03202,ESN,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03209,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03212,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03224,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03225,MSL,African,kg,,African,yes,yes,0.99996,1e-05,1e-05,1e-05,1e-05,0.99996,African
HG03228,PJL,South Asian,kg,,South Asian,no,yes,0.000396,0.008246,0.042682,0.044746,0.90393,0.90393,South Asian
HG03229,PJL,South Asian,kg,,South Asian,no,yes,0.006214,1e-05,0.027592,0.055049,0.911135,0.911135,South Asian
HG03230,PJL,South Asian,kg,,,no,no,,,,,,,
HG03234,PJL,South Asian,kg,,South Asian,no,yes,1e-05,0.014462,1e-05,0.202479,0.783039,0.783039,South Asian
