sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG00514,CHS,East Asian,kg,,,yes,no,,,,,
HG00524,CHS,East Asian,kg,,East Asian,yes,no,,,,,
HG00525,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00526,CHS,East Asian,kg,,,yes,no,,,,,
HG00530,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00531,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00532,CHS,East Asian,kg,,,yes,no,,,,,
HG00533,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00534,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00535,CHS,East Asian,kg,,,yes,no,,,,,
HG00536,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00537,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00538,CHS,East Asian,kg,,,yes,no,,,,,
HG00542,CHS,East Asian,kg,,East Asian,yes,no,,,,,
HG00543,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00544,CHS,East Asian,kg,,,yes,no,,,,,
HG00551,PUR,American,kg,,,no,yes,0.092306,0.109046,0.798648,0.798648,European
HG00552,PUR,American,kg,,,no,no,,,,,
HG00553,PUR,American,kg,,,no,yes,0.192983,0.135817,0.6712,0.6712,European
HG00554,PUR,American,kg,,,no,yes,0.079955,0.076852,0.843192,0.843192,European
HG00555,PUR,American,kg,,,no,no,,,,,
HG00556,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00557,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00558,CHS,East Asian,kg,,,yes,no,,,,,
HG00559,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00560,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00561,CHS,East Asian,kg,,,yes,no,,,,,
HG00565,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00566,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00567,CHS,East Asian,kg,,,yes,no,,,,,
HG00577,CHS,East Asian,kg,,,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00578,CHS,East Asian,kg,,,yes,no,,,,,
HG00579,CHS,East Asian,kg,,,yes,no,,,,,
HG00580,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00581,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00582,CHS,East Asian,kg,,,yes,no,,,,,
HG00583,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00584,CHS,East Asian,kg,,East Asian,yes,no,,,,,
HG00585,CHS,East Asian,kg,,,yes,no,,,,,
HG00589,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00590,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00591,CHS,East Asian,kg,,,yes,no,,,,,
HG00592,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.996698,0.003292,0.996698,American
HG00593,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00594,CHS,East Asian,kg,,,yes,no,,,,,
HG00595,CHS,East Asian,kg,,East Asian,yes,no,,,,,
HG00596,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00597,CHS,East Asian,kg,,,yes,no,,,,,
HG00598,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00599,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00607,CHS,East Asian,kg,,East Asian,yes,no,,,,,
HG00608,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00609,CHS,East Asian,kg,,,yes,no,,,,,
HG00610,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00611,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00612,CHS,East Asian,kg,,,yes,no,,,,,
HG00613,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00614,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00615,CHS,East Asian,kg,,,yes,no,,,,,
HG00619,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00620,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00621,CHS,East Asian,kg,,,yes,no,,,,,
HG00622,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00623,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00625,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00626,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00627,CHS,East Asian,kg,,,yes,no,,,,,
HG00628,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00629,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00630,CHS,East Asian,kg,,,yes,no,,,,,
HG00631,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00632,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00634,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00635,CHS,East Asian,kg,,,yes,no,,,,,
HG00636,CHS,East Asian,kg,,,yes,no,,,,,
HG00637,PUR,American,kg,,,no,yes,0.158635,0.10656,0.734805,0.734805,European
HG00638,PUR,American,kg,,,no,yes,0.168734,0.112169,0.719097,0.719097,European
HG00639,PUR,American,kg,,,no,no,,,,,
HG00640,PUR,American,kg,,,no,yes,0.077359,0.084006,0.838635,0.838635,European
HG00641,PUR,American,kg,,,no,yes,0.081923,0.122472,0.795605,0.795605,European
HG00642,PUR,American,kg,,,no,no,,,,,
HG00650,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00651,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00652,CHS,East Asian,kg,,,yes,no,,,,,
HG00653,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00654,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00655,CHS,East Asian,kg,,,yes,no,,,,,
HG00656,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00657,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00658,CHS,East Asian,kg,,,yes,no,,,,,
HG00662,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00663,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00664,CHS,East Asian,kg,,,yes,no,,,,,
HG00671,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00672,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00673,CHS,East Asian,kg,,,yes,no,,,,,
HG00674,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00675,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00683,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00684,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00685,CHS,East Asian,kg,,,yes,no,,,,,
HG00689,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00690,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00691,CHS,East Asian,kg,,,yes,no,,,,,
HG00692,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00693,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00694,CHS,East Asian,kg,,,yes,no,,,,,
HG00698,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00699,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00700,CHS,East Asian,kg,,,yes,no,,,,,
HG00701,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00702,CHS,East Asian,kg,,,yes,no,,,,,
HG00703,CHS,East Asian,kg,,,yes,no,,,,,
HG00704,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00705,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00706,CHS,East Asian,kg,,,yes,no,,,,,
HG00707,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00708,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00709,CHS,East Asian,kg,,,yes,no,,,,,
HG00717,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.999971,1.9e-05,0.999971,American
HG00728,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00729,CHS,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00731,PUR,American,kg,,,no,yes,0.036838,0.045534,0.917628,0.917628,European
HG00732,PUR,American,kg,,,no,yes,0.05986,0.094975,0.845166,0.845166,European
HG00733,PUR,American,kg,,,no,no,,,,,
HG00734,PUR,American,kg,,,no,yes,0.094395,0.155305,0.7503,0.7503,European
HG00735,PUR,American,kg,,,no,no,,,,,
HG00736,PUR,American,kg,,,no,yes,0.058219,0.073235,0.868546,0.868546,European
HG00737,PUR,American,kg,,,no,yes,0.082102,0.06921,0.848688,0.848688,European
HG00738,PUR,American,kg,,,no,no,,,,,
HG00739,PUR,American,kg,,,no,yes,0.053377,0.022372,0.924251,0.924251,European
HG00740,PUR,American,kg,,,no,yes,0.110116,0.116252,0.773632,0.773632,European
HG00741,PUR,American,kg,,,no,no,,,,,
HG00742,PUR,American,kg,,,no,yes,0.06151,0.028385,0.910105,0.910105,European
HG00743,PUR,American,kg,,,no,yes,0.091336,0.165667,0.742996,0.742996,European
HG00759,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00766,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00844,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00851,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
HG00864,CDX,East Asian,kg,,East Asian,yes,yes,1e-05,0.99998,1e-05,0.99998,American
